filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID
GTY030 I 25C 10 01 m-25.csv,Mito 6,7,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.14,3201.69,803.63,843003,383.81,NA,NA,NA,NA,NA,23.48,15.8,2.88,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-25.csv,Mito 13,14,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.39,1107.06,724.41,210803.59,111.23,NA,NA,NA,NA,NA,19.58,11.97,3.07,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-25.csv,Mito 16,17,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.24,1619.41,810.75,742647.69,190.22,NA,NA,NA,NA,NA,22.02,13.54,2.52,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-35.csv,ROIs 1,1,261.82,450,1659,613.98,135000000,57.78,220,1797,433.76,95378922,146.9,258.51,11687.59,614.67,135000000,206.15,0.624,23265.28,459.2,101000000,855.83,NA,NA,NA,GTY030 I 25C 10,ROIs,Object,5,NA
GTY030 I 25C 10 01 m-35.csv,Mito 1,2,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.68,1023.84,746.13,208916.77,113.47,NA,NA,NA,NA,NA,20.63,13.45,1.77,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-35.csv,Mito 4,5,0.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.76,1513.89,807.77,441852.25,189.64,NA,NA,NA,NA,NA,20.85,10.84,2.61,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-35.csv,Mito 5,6,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.14,4459.14,796.58,1546959.25,329.77,NA,NA,NA,NA,NA,23.75,15.49,2.62,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-35.csv,Mito 10,11,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.39,1107.06,722.01,237541.84,113.27,NA,NA,NA,NA,NA,19.59,11.97,3.06,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-35.csv,Mito 14,15,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.24,1619.41,805.73,831517.5,190.6,NA,NA,NA,NA,NA,22.02,13.53,2.54,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-50.csv,ROIs 1,1,261.82,450,1659,613.98,135000000,57.78,220,1797,433.76,95378922,146.9,258.51,11687.59,614.67,135000000,206.15,0.624,23265.28,459.2,101000000,855.83,NA,NA,NA,GTY030 I 25C 10,ROIs,Object,5,NA
GTY030 I 25C 10 01 m-50.csv,Mito 1,2,0.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.68,1023.84,745.26,255624.31,111.47,NA,NA,NA,NA,NA,20.62,13.45,1.77,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-50.csv,Mito 4,5,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.76,1513.89,799.09,529793.94,190.5,NA,NA,NA,NA,NA,20.85,10.84,2.62,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-50.csv,Mito 5,6,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.14,4459.14,788.98,1925905.75,323.29,NA,NA,NA,NA,NA,23.76,15.49,2.64,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-50.csv,Mito 11,12,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.39,1107.06,719.47,279153.56,113.78,NA,NA,NA,NA,NA,19.59,11.97,3.05,GTY030 I 25C 10,Mito,Object,NA,1
